"","customer_id","sales"
"9034","AB-10105",9892.74
"4097","SC-20095",9449.95
"4275","BS-11365",9099.93
"8483","SE-20110",8749.95
"6423","CC-12370",8399.976
"2506","KL-16645",8187.65
"166","BM-11140",8159.952
"684","GT-14635",7999.98
"6624","TB-21400",6999.96
"510","CM-12385",6354.95
"6518","AR-10540",5443.96
"7663","DR-12940",5399.91
"6338","TS-21370",5199.96
"8853","JW-15220",5083.96
"5882","EH-13765",4912.59
"1086","KD-16270",4899.93
"8985","HM-14860",4899.93
"4216","NC-18535",4799.984
"1804","JA-15970",4663.736
"8199","KD-16495",4643.8
"2493","JM-15865",4548.81
"7814","DP-13390",4535.976
"9160","MJ-17740",4476.8
"7240","TP-21415",4416.174
"9736","QJ-19255",4404.9
"4295","PO-18850",4367.896
"354","AB-10060",4355.168
"9265","PK-19075",4305.552
"9634","JH-15985",4297.644
"5915","PF-19120",4228.704
"3279","GM-14695",4164.05
"6618","CP-12085",4164.05
"6012","KF-16285",4158.912
"6533","GT-14710",4007.84
"2183","CJ-12010",3999.95
"319","NM-18445",3991.98
"5196","AA-10315",3930.072
"7680","SD-20485",3812.97
"9420","LW-17215",3785.292
"1247","NP-18700",3610.848
"5168","LA-16780",3504.9
"7580","KH-16690",3499.93
"9644","MS-17365",3406.664
"7910","SR-20740",3404.5
"9852","EB-13840",3393.68
"3272","PS-19045",3359.952
"8096","RH-19510",3357.6
"252","KC-16540",3347.37
"6815","GH-14425",3266.376
"1645","FH-14365",3149.93
"28","TB-21520",3083.43
"4092","KW-16435",3080
"263","SB-20290",3059.982
"978","BW-11110",3059.982
"8744","LC-16885",3050.376
"1455","MC-17425",3040
"9655","ME-17320",3023.928
"516","AD-10180",2999.95
"5560","JE-15610",2999.95
"8098","SB-20185",2973.32
"8307","BD-11500",2939.93
"3069","YC-21895",2934.33
"6097","SV-20365",2888.127
"6865","SC-20230",2887.056
"4617","RM-19675",2879.952
"1792","RP-19390",2807.84
"8231","CJ-12010",2803.92
"9407","SC-20305",2803.92
"3054","TS-21370",2799.96
"3982","CC-12370",2799.96
"5124","DM-13015",2799.96
"9924","IM-15055",2799.96
"5708","NW-18400",2799.944
"6207","YS-21880",2793.528
"488","SA-20830",2735.952
"995","MW-18235",2715.93
"2847","DM-13345",2690.97
"8463","AS-10285",2678.94
"8887","LC-16960",2676.672
"2568","SF-20200",2665.62
"7576","AT-10735",2625.12
"4127","JL-15835",2624.985
"9051","ED-13885",2621.322
"3985","KF-16285",2591.56
"1806","GK-14620",2575.944
"7471","ME-17320",2573.82
"6881","BD-11320",2567.84
"8266","JE-15715",2563.056
"3010","SR-20425",2549.985
"6008","CL-12565",2548.56
"7277","PW-19240",2541.98
"264","SB-20290",2519.958
"7933","RW-19540",2518.29
"3442","JD-16150",2504.74
"5528","JK-16090",2479.96
"1439","JE-15745",2453.43
"3579","MT-17815",2430.08
"9943","HW-14935",2405.2
"4863","TT-21070",2404.704
"6898","HR-14830",2399.96
"7170","HK-14890",2399.96
"2624","TA-21385",2399.6
"2419","LC-16930",2396.4
"400","AG-10675",2396.2656
"3568","JK-15640",2395.2
"5988","ES-14020",2357.488
"5624","PP-18955",2348.82
"5004","Dp-13240",2321.9
"5318","Dp-13240",2314.116
"1002","RH-19495",2309.65
"6114","CM-12655",2279.96
"5298","AH-10690",2275.5
"6099","SV-20365",2254.41
"4879","TB-21175",2249.91
"7484","PM-19135",2249.91
"1156","PS-19045",2244.48
"8694","TS-21205",2239.936
"9769","LF-17185",2177.584
"8419","NP-18670",2154.9
"6532","GT-14710",2152.776
"8675","JD-15895",2104.55
"6465","DB-13270",2079.4
"950","RB-19795",2065.32
"3627","JH-15985",2060.744
"3042","KF-16285",2054.272
"8163","AB-10060",2036.86
"9610","MZ-17515",2033.584
"3149","NF-18385",2025.36
"9485","CM-12385",2022.272
"5916","PF-19120",2003.92
"6876","TW-21025",2003.92
"3769","CM-12160",2003.52
"8264","LP-17095",2003.168
"245","DW-13480",2001.86
"5754","HG-15025",1999.96
"6525","CA-11965",1999.96
"807","RA-19915",1983.968
"1445","KL-16645",1979.928
"2660","DG-13300",1979.89
"5299","AH-10690",1979.7
"150","JE-16165",1951.84
"1220","SP-20620",1931.958
"1702","ND-18370",1931.04
"911","BE-11335",1928.78
"8885","FC-14245",1927.59
"9942","HW-14935",1925.88
"2766","RW-19690",1924.16
"2708","CC-12145",1919.976
"3297","MW-18235",1919.976
"6878","TW-21025",1913.4
"4989","HG-14965",1889.99
"7506","JL-15835",1889.946
"2549","JM-15865",1879.96
"7129","TT-21460",1879.96
"8988","VP-21760",1875.258
